,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
0,0,아우터,기타 아우터,LAFUDGESTORE,,0,,,,,,https://image.msscdn.net/images/goods_img/20211115/2232639/2232639_3_500.jpg?t=20211202165206
1,0,바지,코튼 팬츠,BEARDED KID,,2022 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211214/2268307/2268307_4_500.jpg?t=20221005155301
2,0,모자,캡/야구 모자,UNDERCONTROL,,2021 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20210909/2121467/2121467_1_500.jpg?t=20210909190409
3,0,주얼리,목걸이/펜던트,QUARQOR,,0,남 여,,,,,https://image.msscdn.net/images/goods_img/20180220/719086/719086_1_500.jpg?t=20190530113704
4,0,스니커즈,캔버스/단화,NOVESTA,,0,남 여,,,,,https://image.msscdn.net/images/goods_img/20181023/887944/887944_3_500.jpg?t=20220328124756
5,1,상의,피케/카라 티셔츠,MELANGE MASTER,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220419/2500338/2500338_2_500.jpg?t=20220421162503
6,1,상의,민소매 티셔츠,MINIMALCODE,,ALL S/S,남,,,,,https://image.msscdn.net/images/goods_img/20210528/1973523/1973523_1_500.jpg?t=20210528143225
7,1,바지,코튼 팬츠,UNIFORM BRIDGE,,2022 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20190828/1132699/1132699_2_500.jpg?t=20211022151401
8,1,모자,버킷/사파리햇,MELANGE MASTER,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210802/2046481/2046481_3_500.jpg?t=20211021151812
9,1,디지털/테크,헤드폰,MARSHALL,,2021 ALL,라이프,,,,,https://image.msscdn.net/images/goods_img/20210415/1900555/1900555_1_500.png?t=20210415141400
10,1,주얼리,팔찌,KLIPS URBAN,,2022 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20220206/2342302/2342302_1_500.jpg?t=20220206022736
11,1,가방,메신저/크로스 백,HIDEOUT,,0,남,,,,,https://image.msscdn.net/images/goods_img/20220311/2412803/2412803_1_500.jpg?t=20220311142537
12,1,신발,슬리퍼,OOFOS,,0,남 여,,,,,https://image.msscdn.net/images/goods_img/20190710/1092992/1092992_1_500.jpg?t=20220822130208
13,2,아우터,숏패딩/숏헤비 아우터,URBANSTOFF,,0,남,,,,,https://image.msscdn.net/images/goods_img/20211022/2194630/2194630_1_500.jpg?t=20220628164815
14,2,상의,셔츠/블라우스,TRILLION,,2022 F/W,남 여,,,,,https://image.msscdn.net/images/goods_img/20210826/2090774/2090774_1_500.jpg?t=20220819160701
15,2,바지,코튼 팬츠,LELALES,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211127/2250658/2250658_3_500.jpg?t=20220723084930
16,3,상의,셔츠/블라우스,LAFUDGESTORE,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20210708/2024232/2024232_2_500.jpg?t=20220714135837
17,4,아우터,아노락 재킷,SPAO,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20210325/1863727/1863727_2_500.jpg?t=20220404123940
18,4,상의,반소매 티셔츠,WMC,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220310/2409908/2409908_2_500.jpg?t=20220310165604
19,4,바지,숏 팬츠,GRAMICCI,,0,남,,,,,https://image.msscdn.net/images/goods_img/20200720/1520584/1520584_6_500.jpg?t=20220408100145
20,4,모자,캡/야구 모자,GRAMICCI,,2022,남,,,,,https://image.msscdn.net/images/goods_img/20220310/2409033/2409033_2_500.jpg?t=20220316140629
21,4,가방,메신저/크로스 백,MATHEMATIK,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210702/2017377/2017377_4_500.jpg?t=20210812170501
22,4,스니커즈,캔버스/단화,odd CIRKUS,,2022 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20220401/2463397/2463397_11_500.jpg?t=20220408175355
23,5,아우터,사파리/헌팅 재킷,FRIZMWORKS,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210831/2101006/2101006_1_500.jpg?t=20210906153126
24,5,상의,셔츠/블라우스,FRIZMWORKS,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211023/2194810/2194810_2_500.jpg?t=20211028225054
25,5,상의,후드 티셔츠,ESFAI,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210828/2096077/2096077_1_500.jpg?t=20210828162833
26,5,바지,코튼 팬츠,YOUTHBATH,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210913/2127749/2127749_1_500.jpg?t=20210916040138
27,5,가방,메신저/크로스 백,MEETMETMEET,,2019 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20190906/1145218/1145218_1_500.jpg?t=20190906102147
28,5,스니커즈,패션스니커즈화,NEW BALANCE,,0,남 여,,,,,https://image.msscdn.net/images/goods_img/20190306/972996/972996_1_500.jpg?t=20190314180908
29,6,아우터,숏패딩/숏헤비 아우터,UNIFORM BRIDGE,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211012/2172102/2172102_1_500.jpg?t=20211020135738
30,6,상의,맨투맨/스웨트셔츠,UNIFORM BRIDGE,,2022 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20190218/956939/956939_3_500.jpg?t=20211126151435
31,6,상의,셔츠/블라우스,MELANGE MASTER,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211019/2187022/2187022_2_500.jpg?t=20211020140632
