,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
0,0,아우터,트러커 재킷,THISISNEVERTHAT,,0,남,,,,,https://image.msscdn.net/images/goods_img/20190228/969580/969580_1_500.jpg?t=20190228191158
1,0,바지,데님 팬츠,TOFFEE,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20190319/986708/986708_1_500.jpg?t=20220628154233
2,0,가방,백팩,THISISNEVERTHAT,,2019 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20190807/1112798/1112798_1_500.jpg?t=20190807234143
3,0,스니커즈,캔버스/단화,VANS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20140630/104238/104238_10_500.jpg?t=20200224172658
4,1,바지,트레이닝/조거 팬츠,SEVENSELAH,,0,남,,,,,https://image.msscdn.net/images/goods_img/20170608/573121/573121_23_500.jpg?t=20220628171400
5,1,스니커즈,패션스니커즈화,ASICS,,0,남,,,,,https://image.msscdn.net/images/goods_img/20170920/637859/637859_2_500.jpg?t=20180315135932
6,2,상의,반소매 티셔츠,RUNNING HIGH,,2018 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20180607/797564/797564_1_500.jpg?t=20180608020311
7,2,바지,데님 팬츠,MASSNOUN,,0,남,,,,,https://image.msscdn.net/images/goods_img/20180613/800353/800353_1_500.jpg?t=20180613195627
8,2,스니커즈,캔버스/단화,ADIDAS,,0,남,,,,,https://image.msscdn.net/images/goods_img/20180629/809330/809330_1_500.jpg?t=20180712183013
9,3,바지,데님 팬츠,BRANDED,,0,남,,,,,https://image.msscdn.net/images/goods_img/20190309/978464/978464_4_500.jpg?t=20220628150355
10,4,바지,데님 팬츠,FATALISM,,0,남,,,,,https://image.msscdn.net/images/goods_img/20170425/545333/545333_7_500.jpg?t=20220701110858
11,5,상의,맨투맨/스웨트셔츠,UNIFORM BRIDGE,,2018 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20180206/709766/709766_1_500.jpg?t=20180209195146
12,5,가방,메신저/크로스 백,MONSTER REPUBLIC,,2022 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20151109/276256/276256_7_500.jpg?t=20220628160228
13,6,아우터,레더/라이더스 재킷,LAFUDGESTORE,,2022 F/W,남 여,,,,,https://image.msscdn.net/images/goods_img/20170817/604096/604096_15_500.jpg?t=20220818165212
14,6,원피스,미니 원피스,MATCHGLOBE,,0,여,,,,,https://image.msscdn.net/images/goods_img/20180809/825531/825531_1_500.jpg?t=20180809104042
15,6,바지,데님 팬츠,MATCHGLOBE,,0,여,,,,,https://image.msscdn.net/images/goods_img/20180809/825543/825543_1_500.jpg?t=20180809104612
16,7,아우터,플리스/뽀글이,LIBERTENG,,0,여,,,,,https://image.msscdn.net/images/goods_img/20171218/689247/689247_1_500.jpg?t=20171218001720
17,7,바지,데님 팬츠,FATALISM,,0,남,,,,,https://image.msscdn.net/images/goods_img/20170425/545333/545333_7_500.jpg?t=20220701110858
18,8,아우터,나일론/코치 재킷,ADIDAS,,0,남,,,,,https://image.msscdn.net/images/goods_img/20180430/769896/769896_1_500.jpg?t=20180523160533
19,8,스니커즈,캔버스/단화,ADIDAS,,0,여,,,,,https://image.msscdn.net/images/goods_img/20180319/738162/738162_1_500.jpg?t=20180329171106
20,10,바지,데님 팬츠,PIECE WORKER,,ALL,남,,,,,https://image.msscdn.net/images/goods_img/20161222/466299/466299_10_500.jpg?t=20220803165436
21,11,상의,맨투맨/스웨트셔츠,OHP,,2020 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210119/1754155/1754155_1_500.jpg?t=20210119170824
22,11,상의,긴소매 티셔츠,FILLUMINATE,,ALL F/W,남,,,,,https://image.msscdn.net/images/goods_img/20181010/876246/876246_11_500.jpg?t=20211119153803
23,11,바지,트레이닝/조거 팬츠,NOT4NERD,,2022 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20200326/1370101/1370101_2_500.jpg?t=20200326231601
24,11,모자,비니,YESEYESEE,,2020 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20201012/1642722/1642722_1_500.jpg?t=20201012101437
25,11,주얼리,목걸이/펜던트,PICKRING,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210126/1762904/1762904_1_500.jpg?t=20210126164751
26,11,주얼리,목걸이/펜던트,PICKRING,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210125/1760497/1760497_1_500.jpg?t=20210125153508
27,11,가방,메신저/크로스 백,PLAYIAN,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210105/1737275/1737275_3_500.jpg?t=20220628171827
28,12,바지,코튼 팬츠,CRITIC,,0,남,,,,,https://image.msscdn.net/images/goods_img/20171010/650357/650357_1_500.jpg?t=20171012182718
29,15,상의,반소매 티셔츠,COVERNAT,,2022 S/S,남 여,,,,,https://image.msscdn.net/images/goods_img/20180330/746280/746280_6_500.jpg?t=20220304143101
30,15,바지,데님 팬츠,INROWS,,0,남,,,,,https://image.msscdn.net/images/goods_img/20180422/762041/762041_1_500.jpg?t=20220628143052
31,15,신발,샌들,SHAKA,,0,남 여,,,,,https://image.msscdn.net/images/goods_img/20180504/773329/773329_3_500.jpg?t=20190723112255
