,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
0,0,아우터,겨울 싱글 코트,MUSINSA STANDARD,,0,여,,,,,https://image.msscdn.net/images/goods_img/20200928/1628422/1628422_3_500.jpg?t=20211028113454
1,0,모자,캡/야구 모자,MLB,,ALL ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20191105/1214174/1214174_9_500.jpg?t=20210901112117
2,0,주얼리,목걸이/펜던트,LAYERMOOD,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200928/1629746/1629746_1_500.jpg?t=20200928235008
3,1,아우터,슈트/블레이저 재킷,INJIACTIVE,,2020 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20201211/1720267/1720267_1_500.jpg?t=20201211142044
4,1,아우터,카디건,CURETTY,,2020 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20201109/1683427/1683427_1_500.jpg?t=20201109170901
5,1,바지,슈트 팬츠/슬랙스,MUSINSA STANDARD,,0,여,,,,,https://image.msscdn.net/images/goods_img/20200914/1600384/1600384_1_500.jpg?t=20200914145003
6,1,여성 가방,숄더백,CONAMOR,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210108/1739957/1739957_1_500.jpg?t=20210108095034
7,1,모자,캡/야구 모자,VARZAR,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20201119/1695477/1695477_1_500.jpg?t=20220628155523
8,1,주얼리,목걸이/펜던트,POSTLUDE,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20201120/1696490/1696490_1_500.jpg?t=20201120102944
9,2,신발,부츠,FIRENZE ATELIER,,0,남,,,,,https://image.msscdn.net/images/goods_img/20141231/153898/153898_8_500.jpg?t=20220725195644
10,3,아우터,카디건,WEARIS,,2021 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20210322/1856450/1856450_1_500.jpg?t=20220628161232
