,cody_category
0,americancasual
1,americancasual
2,americancasual
3,americancasual
4,americancasual
5,americancasual
6,americancasual
7,americancasual
8,americancasual
9,americancasual
10,americancasual
11,americancasual
12,americancasual
13,americancasual
14,americancasual
15,americancasual
16,americancasual
17,americancasual
18,americancasual
19,americancasual
20,americancasual
21,americancasual
22,americancasual
23,americancasual
24,americancasual
25,americancasual
26,americancasual
27,americancasual
28,americancasual
29,americancasual
30,americancasual
31,americancasual
32,americancasual
33,americancasual
34,americancasual
35,americancasual
36,americancasual
37,americancasual
38,americancasual
39,americancasual
40,americancasual
41,americancasual
42,americancasual
43,americancasual
44,americancasual
45,americancasual
46,americancasual
47,americancasual
48,americancasual
49,americancasual
50,americancasual
51,americancasual
52,americancasual
53,americancasual
54,americancasual
55,americancasual
56,americancasual
57,americancasual
58,americancasual
59,americancasual
60,americancasual
61,americancasual
62,americancasual
63,americancasual
64,americancasual
65,americancasual
66,americancasual
67,americancasual
68,americancasual
69,americancasual
70,americancasual
71,americancasual
72,americancasual
73,americancasual
74,americancasual
75,americancasual
76,americancasual
77,americancasual
78,americancasual
79,americancasual
80,americancasual
81,americancasual
82,americancasual
83,americancasual
84,americancasual
85,americancasual
86,americancasual
87,americancasual
88,americancasual
89,americancasual
90,americancasual
91,americancasual
92,americancasual
93,americancasual
94,americancasual
95,americancasual
96,americancasual
97,americancasual
98,americancasual
99,americancasual
100,americancasual
101,americancasual
102,americancasual
103,americancasual
104,americancasual
105,americancasual
106,americancasual
107,americancasual
108,americancasual
109,americancasual
110,americancasual
111,americancasual
112,americancasual
113,americancasual
114,americancasual
115,americancasual
116,americancasual
117,americancasual
118,americancasual
119,americancasual
120,casual
121,casual
122,casual
123,casual
124,casual
125,casual
126,casual
127,casual
128,casual
129,casual
130,casual
131,casual
132,casual
133,casual
134,casual
135,casual
136,casual
137,casual
138,casual
139,casual
140,casual
141,casual
142,casual
143,casual
144,casual
145,casual
146,casual
147,casual
148,casual
149,casual
150,casual
151,casual
152,casual
153,casual
154,casual
155,casual
156,casual
157,casual
158,casual
159,casual
160,casual
161,casual
162,casual
163,casual
164,casual
165,casual
166,casual
167,casual
168,casual
169,casual
170,casual
171,casual
172,casual
173,casual
174,casual
175,casual
176,casual
177,casual
178,casual
179,casual
180,casual
181,casual
182,casual
183,casual
184,casual
185,casual
186,casual
187,casual
188,casual
189,casual
190,casual
191,casual
192,casual
193,casual
194,casual
195,casual
196,casual
197,casual
198,casual
199,casual
200,casual
201,casual
202,casual
203,casual
204,casual
205,casual
206,casual
207,casual
208,casual
209,casual
210,casual
211,casual
212,casual
213,casual
214,casual
215,casual
216,casual
217,casual
218,casual
219,casual
220,casual
221,casual
222,casual
223,casual
224,casual
225,casual
226,casual
227,casual
228,casual
229,casual
230,casual
231,casual
232,casual
233,casual
234,casual
235,casual
236,casual
237,casual
238,casual
239,casual
