,cody_category
0,romantic
1,romantic
2,romantic
3,romantic
4,romantic
5,romantic
6,romantic
7,romantic
8,romantic
9,romantic
10,romantic
11,romantic
12,romantic
13,romantic
14,romantic
15,romantic
16,romantic
17,romantic
18,romantic
19,romantic
20,romantic
21,romantic
22,romantic
23,romantic
24,romantic
25,romantic
26,romantic
27,romantic
28,romantic
29,romantic
30,romantic
31,romantic
32,romantic
33,romantic
34,romantic
35,romantic
36,romantic
37,romantic
38,romantic
39,romantic
40,romantic
41,romantic
42,romantic
43,romantic
44,romantic
45,romantic
46,romantic
47,romantic
48,romantic
49,romantic
50,romantic
51,romantic
52,romantic
53,romantic
54,romantic
55,romantic
56,romantic
57,romantic
58,romantic
59,romantic
60,romantic
61,romantic
62,romantic
63,romantic
64,romantic
65,romantic
66,romantic
67,romantic
68,romantic
69,romantic
70,romantic
71,romantic
72,romantic
73,romantic
74,romantic
75,romantic
76,romantic
77,romantic
78,romantic
79,romantic
80,romantic
81,romantic
82,romantic
83,romantic
84,romantic
85,romantic
86,romantic
87,romantic
88,romantic
89,romantic
90,romantic
91,romantic
92,romantic
93,romantic
94,romantic
95,romantic
96,romantic
97,romantic
98,romantic
99,romantic
100,romantic
101,romantic
102,romantic
103,romantic
104,romantic
105,romantic
106,romantic
107,romantic
108,romantic
109,romantic
110,romantic
111,romantic
112,romantic
113,romantic
114,romantic
115,romantic
116,romantic
117,romantic
118,romantic
119,romantic
