,cody_category
0,chic
1,chic
2,chic
3,chic
4,chic
5,chic
6,chic
7,chic
8,chic
9,chic
10,chic
11,chic
12,chic
13,chic
14,chic
15,chic
16,chic
17,chic
18,chic
19,chic
20,chic
21,chic
22,chic
23,chic
24,chic
25,chic
26,chic
27,chic
28,chic
29,chic
30,chic
31,chic
32,chic
33,chic
34,chic
35,chic
36,chic
37,chic
38,chic
39,chic
40,chic
41,chic
42,chic
43,chic
44,chic
45,chic
46,chic
47,chic
48,chic
49,chic
50,chic
51,chic
52,chic
53,chic
54,chic
55,chic
56,chic
57,chic
58,chic
59,chic
60,chic
61,chic
62,chic
63,chic
64,chic
65,chic
66,chic
67,chic
68,chic
69,chic
70,chic
71,chic
72,chic
73,chic
74,chic
75,chic
76,chic
77,chic
78,chic
79,chic
80,chic
81,chic
82,chic
83,chic
84,chic
85,chic
86,chic
87,chic
88,chic
89,chic
90,chic
91,chic
92,chic
93,chic
94,chic
95,chic
96,chic
97,chic
98,chic
99,chic
100,chic
101,chic
102,chic
103,chic
104,chic
105,chic
106,chic
107,chic
108,chic
109,chic
110,chic
111,chic
112,chic
113,chic
114,chic
115,chic
116,chic
117,chic
118,chic
119,chic
