,clothes_id,gender,height,weight,size,size_review,bright,color,thick
0,0,여성, 161cm, 46kg,S,보통이에요,보통이에요,보통이에요,얇아요
1,0,남성, 165cm, 56kg,L,보통이에요,보통이에요,보통이에요,보통이에요
2,0,여성, 153cm, 37kg,S,커요,어두워요,선명해요,얇아요
3,0,여성, 165cm, 53kg,M,보통이에요,보통이에요,보통이에요,보통이에요
4,0,여성, 162cm, 55kg,L,보통이에요,보통이에요,보통이에요,보통이에요
5,0,여성, 154cm, 46kg,M,보통이에요,보통이에요,보통이에요,보통이에요
6,0,여성, 164cm, 45kg,S,보통이에요,보통이에요,보통이에요,얇아요
7,0,남성, 188cm, 83kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
8,0,남성, 160cm, 41kg,S,보통이에요,보통이에요,보통이에요,보통이에요
9,0,남성, 170cm, 63kg,L,보통이에요,밝아요,선명해요,얇아요
10,0,남성, 170cm, 65kg,L,보통이에요,보통이에요,보통이에요,보통이에요
11,0,남성, 169cm, 83kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
12,0,여성, 160cm, 53kg,S,보통이에요,보통이에요,보통이에요,보통이에요
13,0,여성, 162cm, 50kg,M,보통이에요,보통이에요,보통이에요,보통이에요
14,0,여성, 162cm, 49kg,M,보통이에요,보통이에요,선명해요,얇아요
15,0,여성, 165cm, 50kg,M,보통이에요,보통이에요,보통이에요,얇아요
16,0,여성, 154cm, 45kg,S,보통이에요,보통이에요,보통이에요,얇아요
17,0,남성, 169cm, 65kg,XL,보통이에요,보통이에요,보통이에요,얇아요
18,0,남성, 164cm, 60kg,M,보통이에요,밝아요,선명해요,보통이에요
19,0,남성, 179cm, 72kg,XL,보통이에요,보통이에요,보통이에요,얇아요
20,0,여성, 158cm, 49kg,S,커요,보통이에요,선명해요,보통이에요
21,0,여성, 155cm, 40kg,S,보통이에요,보통이에요,보통이에요,보통이에요
22,0,남성, 180cm, 78kg,2XL,보통이에요,보통이에요,보통이에요,보통이에요
23,0,남성, 173cm, 53kg,L,작아요,보통이에요,보통이에요,얇아요
24,0,여성, 161cm, 50kg,S,보통이에요,보통이에요,보통이에요,얇아요
25,0,남성, 180cm, 64kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
26,0,남성, 179cm, 47kg,L,보통이에요,보통이에요,보통이에요,보통이에요
