,brand,img
0,LA LINGERIE,https://image.msscdn.net/mfile_s01/_brand/free_medium/lalingerie.png?202207040941
1,LA COKA NOSTRA,https://image.msscdn.net/mfile_s01/_brand/free_medium/lacokanostra.png?202105211055
2,LAGOM,https://image.msscdn.net/mfile_s01/_brand/free_medium/lagom.png?202209281425
3,LAGUNA BEACH JEAN,https://image.msscdn.net/mfile_s01/_brand/free_medium/lagunabeachjean.png?202203280932
4,LAGRANGE,https://image.msscdn.net/mfile_s01/_brand/free_medium/lagrange.png?202210191032
5,LANEIGE,https://image.msscdn.net/mfile_s01/_brand/free_medium/laneige.png?202206070950
6,LADENS,https://image.msscdn.net/mfile_s01/_brand/free_medium/ladens.png?202206071504
7,LAD,https://image.msscdn.net/mfile_s01/_brand/free_medium/lad.png?202204151452
8,LADLAB,https://image.msscdn.net/mfile_s01/_brand/free_medium/ladlab.png?202105211055
9,LADINSIDE,https://image.msscdn.net/mfile_s01/_brand/free_medium/ladinside.png?202210261124
10,LALA,https://image.msscdn.net/mfile_s01/_brand/free_medium/lala.png?202209131538
11,LALA ROSEDAY,https://image.msscdn.net/mfile_s01/_brand/free_medium/lalaroseday.png?202111161122
12,LALARECIPE,https://image.msscdn.net/mfile_s01/_brand/free_medium/lalarecipe.png?202208251709
13,LALASALAMA,https://image.msscdn.net/mfile_s01/_brand/free_medium/lalasalama.png?202105211055
14,LALA SUNNYSIDE,https://image.msscdn.net/mfile_s01/_brand/free_medium/lalasunnyside.png?202206151103
15,LALACHUU,https://image.msscdn.net/mfile_s01/_brand/free_medium/lalachuu.png?202203241205
16,LALAFOX,https://image.msscdn.net/mfile_s01/_brand/free_medium/lalafox.png?202209301134
17,LARGO,https://image.msscdn.net/mfile_s01/_brand/free_medium/largo.png?202105211055
18,LAMAZE,https://image.msscdn.net/mfile_s01/_brand/free_medium/lamaze.png?202206271732
19,LA MER MA MAISON,https://image.msscdn.net/mfile_s01/_brand/free_medium/lamermamaison.png?202105211055
