,clothes_id,gender,height,weight,size,size_review,bright,color,thick
0,0,남성, 170cm, 90kg,M,보통이에요,어두워요,보통이에요,보통이에요
1,0,여성, 155cm, 50kg,S,커요,보통이에요,보통이에요,보통이에요
2,0,남성, 178cm, 65kg,M,보통이에요,보통이에요,보통이에요,두꺼워요
3,0,여성, 166cm, 50kg,S,보통이에요,보통이에요,보통이에요,보통이에요
4,0,여성, 169cm, 57kg,S,커요,보통이에요,선명해요,얇아요
5,0,여성, 165cm, 55kg,S,커요,어두워요,보통이에요,보통이에요
6,0,여성, 157cm, 42kg,S,커요,보통이에요,보통이에요,보통이에요
7,0,남성, 178cm, 70kg,M,보통이에요,보통이에요,보통이에요,두꺼워요
8,0,남성, 178cm, 85kg,L,보통이에요,보통이에요,보통이에요,보통이에요
9,0,남성, 180cm, 75kg,L,보통이에요,보통이에요,보통이에요,보통이에요
10,0,여성, 175cm, 66kg,S,커요,보통이에요,보통이에요,보통이에요
11,0,여성, 171cm, 55kg,S,보통이에요,보통이에요,선명해요,두꺼워요
12,0,남성, 176cm, 80kg,L,보통이에요,보통이에요,보통이에요,보통이에요
13,0,여성, 156cm, 45kg,S,커요,밝아요,선명해요,얇아요
14,0,남성, 175cm, 78kg,L,보통이에요,보통이에요,보통이에요,보통이에요
15,0,여성, 166cm, 60kg,L,커요,보통이에요,선명해요,보통이에요
16,0,남성, 176cm, 65kg,M,보통이에요,보통이에요,보통이에요,보통이에요
17,0,여성, 158cm, 48kg,S,보통이에요,보통이에요,보통이에요,보통이에요
18,0,여성, 167cm, 57kg,S,커요,보통이에요,선명해요,보통이에요
19,0,남성, 177cm, 72kg,M,보통이에요,보통이에요,보통이에요,보통이에요
20,0,남성, 175cm, 64kg,M,커요,보통이에요,보통이에요,보통이에요
21,0,남성, 174cm, 66kg,M,보통이에요,보통이에요,선명해요,보통이에요
22,0,여성, 163cm, 54kg,L,보통이에요,보통이에요,보통이에요,보통이에요
23,0,남성, 181cm, 70kg,L,보통이에요,보통이에요,선명해요,보통이에요
24,0,남성, 180cm, 90kg,L,보통이에요,보통이에요,보통이에요,보통이에요
25,0,남성, 174cm, 78kg,M,커요,어두워요,흐려요,보통이에요
26,0,남성, 173cm, 75kg,L,보통이에요,어두워요,보통이에요,두꺼워요
27,0,남성, 175cm, 90kg,L,커요,어두워요,보통이에요,보통이에요
28,0,여성, 166cm, 55kg,S,보통이에요,보통이에요,보통이에요,보통이에요
29,0,남성, 180cm, 80kg,L,보통이에요,보통이에요,보통이에요,보통이에요
30,0,남성, 173cm, 73kg,M,커요,보통이에요,보통이에요,보통이에요
31,0,남성, 170cm, 70kg,M,보통이에요,보통이에요,보통이에요,보통이에요
32,0,남성, 172cm, 62kg,L,보통이에요,보통이에요,보통이에요,보통이에요
33,0,남성, 166cm, 62kg,S,보통이에요,보통이에요,보통이에요,보통이에요
34,0,남성, 170cm, 55kg,M,보통이에요,보통이에요,보통이에요,보통이에요
35,0,남성, 175cm, 73kg,M,보통이에요,밝아요,보통이에요,보통이에요
36,0,남성, 179cm, 72kg,M,보통이에요,보통이에요,보통이에요,보통이에요
37,0,여성, 165cm, 58kg,M,커요,밝아요,선명해요,두꺼워요
38,0,남성, 168cm, 62kg,M,보통이에요,보통이에요,보통이에요,보통이에요
39,0,남성, 171cm, 71kg,M,보통이에요,보통이에요,보통이에요,보통이에요
40,0,여성, 165cm, 55kg,M,커요,밝아요,보통이에요,보통이에요
